1956	chemistry.phase_of_matter
1909	chemistry.radioactive_decay_mode
1485	chemistry.solubility
1050	chemistry.solubility_relationship
2044	chess.chess_color
1630	chess.chess_game
1960	chess.chess_game_outcome
779	chess.chess_game_participation
1371	chess.chess_move
433	chess.chess_player
1337	comedy.comedian
1473	comedy.comedy_genre
1332	comedy.comedy_group
1758	comedy.comedy_group_membership
437	comic_books.comic_book_character
1297	comic_books.comic_book_colorist
462	comic_books.comic_book_creator
1367	comic_books.comic_book_editor
622	comic_books.comic_book_fictional_universe
1413	comic_books.comic_book_genre
593	comic_books.comic_book_inker
854	comic_books.comic_book_issue
1172	comic_books.comic_book_letterer
1167	comic_books.comic_book_penciler
817	comic_books.comic_book_publisher
160	comic_books.comic_book_series
642	comic_books.comic_book_story
865	comic_books.comic_book_story_arc
1264	comic_books.comic_book_writer
750	comic_books.comic_story_printing
523	comic_strips.comic_strip
649	comic_strips.comic_strip_character
826	comic_strips.comic_strip_creator
618	comic_strips.comic_strip_creator_duration
1795	comic_strips.comic_strip_creator_role
1111	comic_strips.comic_strip_genre
1425	comic_strips.comic_strip_syndicate
1140	comic_strips.comic_strip_syndicate_duration
2067	common.document
2068	common.image
2064	common.topic
504	community.discussion_thread
456	computer.computer
475	computer.computer_designer
844	computer.computer_emulator
1281	computer.computer_manufacturer_brand
880	computer.computer_peripheral
1176	computer.computer_peripheral_class
486	computer.computer_processor
1505	computer.computer_product_line
473	computer.computer_scientist
1129	computer.computing_platform
1072	computer.content_license
637	computer.file_format
1449	computer.file_format_genre
1663	computer.html_layout_engine
409	computer.internet_protocol
435	computer.operating_system
1345	computer.operating_system_developer
1349	computer.os_compatibility
620	computer.processor_manufacturer
490	computer.programming_language
1245	computer.programming_language_designer
1317	computer.programming_language_developer
839	computer.programming_language_paradigm
1540	computer.protocol_provider
161	computer.software
208	computer.software_compatibility
295	computer.software_developer
822	computer.software_genre
907	computer.software_license
1231	computer.web_browser
1739	computer.web_browser_extension
653	conferences.conference
1397	conferences.conference_proceedings
796	conferences.conference_series
944	conferences.conference_sponsor
1118	conferences.conference_subject
1016	conferences.conference_venue
1737	conferences.type_of_conference
1163	cricket.cricket_administrative_body
1695	cricket.cricket_batting_stroke
154	cricket.cricket_bowler
695	cricket.cricket_bowler_stats
1812	cricket.cricket_bowling_pace
1694	cricket.cricket_bowling_technique
935	cricket.cricket_coach
1512	cricket.cricket_coach_tenure
950	cricket.cricket_delivery_type
1869	cricket.cricket_league
1254	cricket.cricket_match
1614	cricket.cricket_match_type
155	cricket.cricket_player
1847	cricket.cricket_player_debut
694	cricket.cricket_player_stats
1769	cricket.cricket_roster
626	cricket.cricket_roster_batting
1760	cricket.cricket_roster_bowling
1938	cricket.cricket_roster_extras
2011	cricket.cricket_roster_keeping
1755	cricket.cricket_series
1808	cricket.cricket_series_event
1239	cricket.cricket_stadium
1304	cricket.cricket_team
2061	cricket.cricket_team_stats
1788	cricket.cricket_tournament
1292	cricket.cricket_tournament_event
224	cricket.cricket_umpire
1582	cricket.cricket_umpire_panel
1908	cricket.cricket_umpire_panel_membership
1500	cricket.dismissal_type
1964	cricket.fall_of_wicket
2024	cricket.team_inning_batting_stats
1102	cvg.computer_game_compilation
1168	cvg.computer_game_content_descriptor
1158	cvg.computer_game_distribution_system
683	cvg.computer_game_engine
1217	cvg.computer_game_engine_developer
902	cvg.computer_game_engine_family
1018	cvg.computer_game_evaluation
1221	cvg.computer_game_expansion
1546	cvg.computer_game_mod
1866	cvg.computer_game_performance_type
1290	cvg.computer_game_rating
1291	cvg.computer_game_rating_system
1590	cvg.computer_game_region
1093	cvg.computer_game_subject
70	cvg.computer_videogame
458	cvg.cvg_designer
348	cvg.cvg_developer
388	cvg.cvg_genre
436	cvg.cvg_platform
1763	cvg.cvg_platform_family
459	cvg.cvg_publisher
588	cvg.game_character
611	cvg.game_performance
685	cvg.game_series
597	cvg.game_version
325	cvg.game_voice_actor
1917	cvg.gameplay_mode
