medicine.manufactured_drug_form.shape	medicine.drug_form_shape.drugs_with_this_shape
medicine.medical_trial.design	medicine.medical_trial_design.trials
metropolitan_transit.transit_agency.systems	metropolitan_transit.transit_system.agency
music.concert_tour.tour_manager	music.tour_manager.tours_managed
soccer.football_player_transfer.purchasing_team	soccer.football_team.purchased_players
spaceflight.space_program.sponsor	spaceflight.space_program_sponsor.space_programs_sponsored
sports.sports_team_roster.team	sports.sports_team.roster
astronomy.galaxy_classification_code.galaxy_shape	astronomy.galactic_shape.galaxies_of_this_shape
book.poem.characters	book.poem_character.appears_in_poems
comic_books.comic_book_character.primary_universe	comic_books.comic_book_fictional_universe.characters_primarily_appearing_in_this_universe
computer.computer_emulator.peripheral_classes	computer.computer_peripheral_class.emulators
government.legislative_committee_membership.title	government.legislative_committee_title.held_by
measurement_unit.acceleration_unit.measurement_system	measurement_unit.measurement_system.acceleration_units
medicine.drug_brand.canonical_drug	medicine.drug.canonical_brands
tv.video.service	tv.video_host.videos
architecture.ownership.structure	architecture.structure.owner
automotive.manufacturing_plant_model_relationship.model	automotive.model.manufactured_at
automotive.trim_level.driveline	automotive.driveline.trim_levels
law.us_patent.assignee	law.patent_assignee.patents_assigned
location.location.coterminous_with	location.cotermination.location
location.offical_symbol_variety.symbols_of_this_kind	location.location_symbol_relationship.Kind_of_symbol
organization.organization.spun_off_from	organization.organization_spin_off.child_company
tv.regular_tv_appearance.seasons	tv.tv_series_season.regular_cast
book.short_non_fiction.mode_of_writing	book.short_non_fiction_variety.works
engineering.material.subclass	engineering.material.parent_material_class
food.ingredient.more_general_ingredient	food.ingredient.more_specific_ingredient
games.playing_card_game.play_direction	games.playing_card_game_play_direction.card_games
medicine.cancer_center.cancer_center_type	medicine.cancer_center_type.centers_of_this_kind
opera.opera_production.performed_at	opera.opera_house.productions
protected_sites.natural_or_cultural_site_listing.designation	protected_sites.natural_or_cultural_site_designation.sites
soccer.football_goal.match	soccer.football_match.goals
soccer.football_team_manager_match_participation.match	soccer.football_match.managers
symbols.coat_of_arms.ordinaire	symbols.heraldic_ordinaire_color.coat_of_arms
tv.sequence_of_tv_episode_segments.tv_series	tv.tv_program.recurring_segments
biology.fossil_specimen.organism	biology.organism_classification.fossil_specimens
book.author.book_editions_published	book.book_edition.author_editor
computer.computer.processor	computer.computer_processor.used_in_computers
fictional_universe.fictional_object.featured_in_fictional_universe	fictional_universe.fictional_universe.fictional_objects
fictional_universe.fictional_organization.appears_in_universes	fictional_universe.fictional_universe.organizations
government.legislative_committee.subcommittees	government.legislative_committee.subcommittee_of
martial_arts.martial_arts_certification.person	martial_arts.martial_artist.certifications
olympics.olympic_games.competitions	olympics.olympic_event_competition.olympic_games_contested
religion.religious_leadership_jurisdiction.organisation	religion.religious_organization.jurisdictions
spaceflight.astronaut.missions	spaceflight.space_mission.astronauts
symbols.coat_of_arms.torse	symbols.heraldic_torse.coat_of_arms
tv.tv_regular_personal_appearance.seasons	tv.tv_series_season.regular_personal_appearances
tv.tv_song.episode_segments	tv.tv_segment_song_relationship.song
award.award_achievement_level.higher_level	award.award_achievement_level.lower_level
comic_books.comic_book_story.letters	comic_books.comic_book_letterer.comic_stories_lettered
cvg.computer_videogame.designers	cvg.cvg_designer.games_designed
cvg.game_version.peripherals_supported	computer.computer_peripheral.supporting_game_versions
games.game.derivative_games	games.game.derived_from
law.legal_case.judges	law.judge.cases
location.administrative_division.country	location.country.administrative_divisions
location.partial_containment_relationship.partially_contained_by	location.location.partiallycontains
religion.religious_leadership_title.rank_or_role	religion.religious_leadership_role.religious_titles
soccer.football_league.league_system	soccer.football_league_system.leagues
tv.tv_program.spin_offs	tv.tv_program.spun_off_from
business.product_line.producer_s	business.company_product_line_relationship.product_line
exhibitions.exhibition_run.exhibition	exhibitions.exhibition.venues
film.film.cinematography	film.cinematographer.film
government.election.general_election	government.general_election.contests
rail.railway.gauge	rail.railway_gauge_relationship.railway
sports.professional_sports_team.owner_s	sports.sports_team_owner.teams_owned
tennis.tennis_tournament_championship.tournament	tennis.tennis_tournament.champions
travel.transportation.transport_terminus	travel.transport_terminus.travel_destinations_served
tv.tv_guest_personal_appearance.appearance_type	tv.non_character_role.tv_guest_personal_appearances
tv.tv_producer_term.producer	tv.tv_producer.programs_produced
astronomy.asteroid.spectral_type	astronomy.asteroid_spectral_type.asteroids_of_this_type
astronomy.extraterrestrial_location.type_of_planetographic_feature	astronomy.type_of_planetographic_feature.planetographic_features_of_this_type
book.poem.verse_form	book.poetic_verse_form.poems_of_this_form
military.military_combatant_group.conflict	military.military_conflict.combatants
tv.tv_guest_role.episodes_appeared_in	tv.tv_series_episode.guest_stars
architecture.lighthouse.construction	architecture.lighthouse_construction_material.used_on_lighthouse
aviation.aircraft_model.aircraft_type	aviation.aircraft_type.aircraft_of_this_type
boats.ship.owners	boats.ship_ownership.ship
cricket.cricket_coach.overall_odi_stats	cricket.cricket_team_stats.odi_coach
fictional_universe.character_species.found_in_fictional_universe	fictional_universe.fictional_universe.species
medicine.manufactured_drug_form.label_sections	medicine.drug_label_section.subject_drug
music.composition.lyricist	music.lyricist.lyrics_written
music.release.label	music.record_label.releases
olympics.olympic_participating_country.demonstration_medals_won	olympics.olympic_demonstration_medal_honor.country
physics.subatomic_particle_composition.particle	physics.quark.composes
sports.sports_award.award_winner	sports.sports_award_winner.awards
aviation.airport.airport_type	aviation.airport_type.airports_of_this_type
education.academic_post.institution	education.academic_institution.visiting_scholars_fellows_etc
event.speech_or_presentation.speech_topic	event.speech_topic.speeches_or_presentations_on_this_topic
exhibitions.exhibition_run.venue	exhibitions.exhibition_venue.exhibitions_at_this_venue
opera.opera_role.performer	music.opera_singer.opera_roles
opera.opera_role.role	opera.opera_character.portrayed_by
rail.locomotive.owners	rail.locomotive_ownership.locomotive
spaceflight.rocket_stage.fuel	spaceflight.rocket_fuel.rocket_stages
tv.tv_series_episode.writer	tv.tv_writer.episodes_written
visual_art.art_series.subject	visual_art.art_subject.art_series_on_the_subject
automotive.similar_automobile_models.related_model	automotive.model.related_models
biology.organism_classification.parent_classifications	biology.organism_classification_placement.lower_classification
business.holding.issue	business.issue.holders
comic_books.comic_story_printing.story	comic_books.comic_book_story.appeared_in
games.game.genre	games.game_genre.boardgames
military.military_post_use.military_post	military.military_post.used_by_armed_forces
military.military_posting.person	military.military_person.postings
theater.theater_production.producer	theater.theater_producer.plays_produced
travel.travel_destination.guidebooks	travel.guidebook.travel_destinations_covered
american_football.football_game.passing	american_football.game_passing_statistics.game
award.award_judging_term.award	award.award_category.judges_jury
book.editorial_tenure.editor	book.periodical_editor.periodicals_edited
exhibitions.exhibition_subject.exhibitions_created_about_this_subject	exhibitions.exhibition.subjects
film.film_festival.individual_festivals	film.film_festival_event.festival
physics.particle_family.parent_class	physics.particle_family.subclasses
soccer.football_goal.scorer	soccer.football_player.goals_scored
american_football.football_player.position_s	american_football.football_position.players
award.award_nomination.ceremony	award.award_ceremony.nominees
law.us_patent.inventor	law.inventor.us_patents
martial_arts.martial_artist.instructor	martial_arts.martial_artist.martial_arts_students
music.composition.subjects	book.book_subject.musical_compositions_about_this_topic
venture_capital.venture_investment.company	venture_capital.venture_funded_company.venture_investors
architecture.architect.architectural_style	architecture.architectural_style.architects
business.product_endorsement.product	business.endorsed_product.endorsements
comic_books.comic_book_series.featured_characters	comic_books.comic_book_character.regular_featured_appearances
comic_books.comic_book_series.publisher	comic_books.comic_book_publisher.comic_book_series_published
computer.file_format.extended_to	computer.file_format.extended_from
fictional_universe.fictional_universe.characters	fictional_universe.fictional_character.appears_in_these_fictional_universes
food.beer.brewery_brand	food.brewery_brand_of_beer.beers_produced
ice_hockey.hockey_player.hockey_position	ice_hockey.hockey_position.players
library.public_library.library_system	library.public_library_system.branches
organization.organization_membership.member	organization.organization_member.member_of
sports.multi_event_tournament.participating_countries	sports.sport_country.multi_event_tournaments_participated_in
architecture.museum.director	architecture.museum_director.museum
architecture.ownership.owner	architecture.architectural_structure_owner.structures_owned
astronomy.galaxy.galaxy_classification_hubble	astronomy.galaxy_classification_code.galaxies_of_this_code
film.film.sequel	film.film.prequel
medicine.vaccine.developed_by	medicine.vaccine_developer.vaccine
tv.tv_character.appeared_in_tv_episode_segments	tv.tv_segment_performance.character
astronomy.star_system.planetary_system	astronomy.star_system_body.star_system
business.sponsor.sponsorship	business.sponsorship.sponsored_by
education.educational_institution.mascot	education.school_mascot.school
government.us_president.vice_president	government.us_vice_president.to_president
medicine.drug_formulation.drug_category	medicine.drug_formulation_category.drug_formulations
medicine.drug_ingredient.more_general_ingredient	medicine.drug_ingredient.more_specific_ingredient
military.military_post_use.armed_force	military.armed_force.military_posts
tv.tv_subject.tv_programs	tv.tv_program.subjects
aviation.aircraft_manufacturer.aircraft_models_made	aviation.aircraft_model.manufacturer
biology.hybrid.parent_classifications	biology.hybrid_parentage.hybrid
film.film.directed_by	film.director.film
military.casualties.type_of_casualties	military.casualties_type.conflicts
music.album.genre	music.genre.albums
people.person.parents	people.person.children
people.place_lived.person	people.person.places_lived
spaceflight.rocket.launch_sites	spaceflight.rocket_launch_site.rockets_launched_here
tv.tv_segment_personal_appearance.appearance_type	tv.non_character_role.episode_segment_appearances
comic_books.comic_book_story.genre	comic_books.comic_book_genre.stories_in_this_genre
government.government_service.providing_agency	government.government_agency.provides_service
medicine.routed_drug.route_of_administration	medicine.drug_administration_route.route_of
visual_art.artwork.media	visual_art.visual_art_medium.artworks
aviation.airliner_accident.aircraft_type	aviation.aircraft_model.accidents
fictional_universe.fictional_character.species	fictional_universe.character_species.characters_of_this_species
location.country.second_level_divisions	location.administrative_division.second_level_division_of
medicine.infectious_disease.vector	medicine.vector_of_disease.disease
opera.opera_production.stage_director	opera.opera_director.operas_directed
organization.non_profit_organization.registered_with	organization.non_profit_registration.non_profit_organization
rail.electric_locomotive_class.electric_system_s	rail.electric_system.locomotive_class
rail.locomotive_class.locomotives_of_this_class	rail.locomotive.locomotive_class
rail.rail_network.railways	rail.railway.part_of_network
religion.religious_order.monasteries	religion.monastery.religious_order
visual_art.artwork_owner_relationship.owner	visual_art.art_owner.artworks_owned
business.employment_tenure.title	business.job_title.people_with_this_title
language.language_family.sub_families	language.language_family.member_of_language_families
rail.locomotive_class.built_by	rail.locomotive_builder.locomotive_classes_built
religion.religion.branched_into	religion.religion.branched_from
