location.statistical_region.cpi_inflation_rate	measurement_unit.dated_percentage
location.statistical_region.gender_balance_armed_forces	measurement_unit.dated_percentage
media_common.media_genre.child_genres	media_common.media_genre
meteorology.tropical_cyclone_season.total_fatalities	type.int
music.guitar.brand	music.musical_instrument_company
opera.opera_designer_gig.design_role	opera.opera_designer_role
people.person.languages	language.human_language
people.person.spouse_s	people.marriage
rail.railway_operator_relationship.to_date	type.datetime
royalty.system_of_nobility.country_of_origin	location.country
sports.boxer.titles	boxing.boxing_title_tenure
sports.golf_course.designer	sports.golf_course_designer
theater.theater_production_staff_gig.play	theater.theater_production
travel.travel_destination_monthly_climate.average_rainfall_mm	type.int
tv.tv_actor.starring_roles	tv.regular_tv_appearance
american_football.football_player.football_almanac_id	type.enumeration
american_football.football_team.conference	american_football.football_conference
american_football.player_passing_statistics.yards	type.float
american_football.player_receiving_statistics.longest	type.float
amusement_parks.ride.drop	type.float
architecture.building.occupant	architecture.occupancy
award.award_nomination.year	type.datetime
biology.hybrid_parentage.hybrid	biology.hybrid
book.translation.language	language.human_language
broadcast.podcast_feed.uri	type.uri
broadcast.radio_station.serves_area	location.location
business.consumer_company.brands	business.company_brand_relationship
business.market_size.amount	type.float
business.shopping_center_owner.shopping_centers_owned	business.shopping_center
chemistry.chemical_classification.chemicals_of_this_type	chemistry.chemical_compound
comedy.comedy_group_membership.from	type.datetime
conferences.conference_venue.conferences	conferences.conference
cricket.cricket_umpire_panel_membership.panel	cricket.cricket_umpire_panel
cvg.computer_videogame.release_date	type.datetime
education.educational_institution.faculty	measurement_unit.dated_integer
education.honorary_degree_recipient.honorary_degrees	education.honorary_degree
engineering.battery_shape_format.battery_sizes	engineering.battery_size
fashion.textile.fiber	fashion.fiber
fictional_universe.fictional_character.parents	fictional_universe.fictional_character
film.film_festival.location	location.location
government.governmental_body.committees	government.legislative_committee
location.census_tract.vac_3_6_b	measurement_unit.dated_integer
location.statistical_region.flight_departures	measurement_unit.dated_float
location.uk_non_metropolitan_county.administrative_headquarters	location.citytown
measurement_unit.thermal_conductivity_unit.measurement_system	measurement_unit.measurement_system
media_common.cataloged_instance.lccn	type.rawstring
medicine.drug_pregnancy_category.pregnancy_risk	type.text
medicine.medical_treatment.used_to_treat	medicine.disease
music.live_album.concert_tour	music.concert_tour
music.music_video_director.music_videos_directed	music.music_video
opera.opera_production.opera	opera.opera
organization.organization_committee.date_formed	type.datetime
projects.project_participation.participant	projects.project_participant
rail.locomotive_class.maximum_speed	type.float
royalty.order_of_chivalry.founders	royalty.chivalric_order_founder
sports.sports_championship_event.championship	sports.sports_championship
sports.sports_league_season.championship	sports.sports_championship_event
