broadcast.am_terrestrial_broadcast_facility.frequency	broadcast.am_terrestrial_broadcast_facility
business.endorsed_product.endorsements	business.endorsed_product
business.oil_field.estimated_reserves	business.oil_field
cricket.cricket_player_debut.player	cricket.cricket_player_debut
cricket.cricket_roster_batting.balls	cricket.cricket_roster_batting
education.academic_post.person	education.academic_post
finance.exchange_operator.exchanges_operated	finance.exchange_operator
food.dish.ingredients	food.dish
food.recipe_author.recipes	food.recipe_author
government.political_party.country	government.political_party
language.language_writing_system.parent_writing_systems	language.language_writing_system
location.statistical_region.capital_punishment	location.statistical_region
location.statistical_region.gas_price_gallon	location.statistical_region
measurement_unit.dated_index_value.source	measurement_unit.dated_index_value
meteorology.tropical_cyclone_season.last_storm_dissipated	meteorology.tropical_cyclone_season
music.group_membership.end	music.group_membership
music.music_video_performance.music_video_character	music.music_video_performance
music.music_video_performance.special_music_video_performance_type	music.music_video_performance
organization.organization.email	organization.organization
organization.organization_partnership.members	organization.organization_partnership
pipeline.task_profile.prompt	pipeline.task_profile
religion.religious_leadership_jurisdiction.title	religion.religious_leadership_jurisdiction
soccer.football_league_participation.from	soccer.football_league_participation
spaceflight.rocket.number_of_stages	spaceflight.rocket
time.day_of_year.day	time.day_of_year
tv.tv_series_episode.next_episode	tv.tv_series_episode
american_football.football_game.home_team	american_football.football_game
astronomy.orbital_relationship.orbit_type	astronomy.orbital_relationship
automotive.option_package.trim_levels	automotive.option_package
basketball.basketball_player_stats.season	basketball.basketball_player_stats
biology.pedigreed_animal.breed	biology.pedigreed_animal
book.written_work.author	book.written_work
business.shopping_center.retail_floor_space_m_2	business.shopping_center
celebrities.celebrity.legal_entanglements	celebrities.celebrity
celebrities.sexual_orientation_phase.sexual_orientation	celebrities.sexual_orientation_phase
engineering.power_plug_standard_type.compatible_power_systems	engineering.power_plug_standard_type
government.governmental_jurisdiction.agencies	government.governmental_jurisdiction
location.census_tract.ns_6_12_b	location.census_tract
location.statistical_region.agriculture_as_percent_of_gdp	location.statistical_region
location.statistical_region.gross_enrollment_ratio_tertiary_school	location.statistical_region
measurement_unit.distance_unit.measurement_system	measurement_unit.distance_unit
media_common.dedication.dedicated_to	media_common.dedication
medicine.hospital.date_closed	medicine.hospital
medicine.manufactured_drug_form.fda_otc_part	medicine.manufactured_drug_form
meteorology.cloud.maximum_altitude_m	meteorology.cloud
meteorology.tropical_cyclone_category.min_wind_speed	meteorology.tropical_cyclone_category
